time,actual_call,actual_sla_v,actual_agent,predicted_agent,predicted_call
2019-06-10 23:30:00,3,3,,9,27
2019-06-11 00:00:00,12,12,,11,34
2019-06-11 00:30:00,12,12,,11,30
2019-06-11 01:00:00,8,8,,7,16
2019-06-11 01:30:00,6,6,,5,9
2019-06-11 02:00:00,8,8,,4,7
2019-06-11 02:30:00,3,3,,4,5
2019-06-11 03:00:00,0,0,,3,3
2019-06-11 03:30:00,1,1,,3,3
2019-06-11 04:00:00,2,2,,3,3
2019-06-11 04:30:00,1,1,,3,3
2019-06-11 05:00:00,3,3,,3,3
2019-06-11 05:30:00,4,4,,4,5
2019-06-11 06:00:00,9,9,,4,8
2019-06-11 06:30:00,11,11,,8,19
2019-06-11 07:00:00,19,19,,12,35
2019-06-11 07:30:00,32,32,,16,55
2019-06-11 08:00:00,92,92,,29,122
2019-06-11 08:30:00,162,162,,48,212
2019-06-11 09:00:00,228,228,,61,281
2019-06-11 09:30:00,217,217,,71,325
2019-06-11 10:00:00,214,214,,72,332
2019-06-11 10:30:00,219,219,,72,338
2019-06-11 11:00:00,217,217,,80,374
2019-06-11 11:30:00,230,230,,75,348
2019-06-11 12:00:00,216,216,,67,310
2019-06-11 12:30:00,186,186,,65,299
2019-06-11 13:00:00,240,240,,69,318
2019-06-11 13:30:00,213,213,,69,318
2019-06-11 14:00:00,212,212,,68,313
2019-06-11 14:30:00,220,220,,64,297
2019-06-11 15:00:00,253,253,,65,300
2019-06-11 15:30:00,229,229,,61,282
2019-06-11 16:00:00,219,219,,61,277
2019-06-11 16:30:00,209,209,,56,255
2019-06-11 17:00:00,198,90,,53,240
2019-06-11 17:30:00,165,148,,49,218
2019-06-11 18:00:00,144,118,,43,187
2019-06-11 18:30:00,135,98,,36,155
2019-06-11 19:00:00,127,21,,33,142
2019-06-11 19:30:00,112,64,,32,132
2019-06-11 20:00:00,148,0,,32,131
2019-06-11 20:30:00,101,46,,29,121
2019-06-11 21:00:00,107,17,,27,108
2019-06-11 21:30:00,64,53,,23,84
2019-06-11 22:00:00,46,46,,19,66
2019-06-11 22:30:00,41,41,,15,50
2019-06-11 23:00:00,20,20,,12,40
2019-06-11 23:30:00,22,21,,9,27
2019-06-12 00:00:00,23,23,,11,34
2019-06-12 00:30:00,11,11,,11,30
2019-06-12 01:00:00,13,13,,7,16
2019-06-12 01:30:00,2,2,,5,9
2019-06-12 02:00:00,6,6,,4,7
2019-06-12 02:30:00,1,1,,4,5
2019-06-12 03:00:00,1,1,,3,3
2019-06-12 03:30:00,2,2,,3,3
2019-06-12 04:00:00,1,1,,3,3
2019-06-12 04:30:00,3,3,,3,3
2019-06-12 05:00:00,1,1,,3,3
2019-06-12 05:30:00,1,1,,4,5
2019-06-12 06:00:00,8,8,,4,8
2019-06-12 06:30:00,17,17,,8,19
2019-06-12 07:00:00,24,24,,12,35
2019-06-12 07:30:00,34,34,,16,55
2019-06-12 08:00:00,82,82,,29,122
2019-06-12 08:30:00,134,134,,48,212
2019-06-12 09:00:00,204,204,,61,281
2019-06-12 09:30:00,238,238,,71,325
2019-06-12 10:00:00,230,230,,72,332
2019-06-12 10:30:00,247,225,,72,338
2019-06-12 11:00:00,274,209,,80,374
2019-06-12 11:30:00,244,198,,75,348
2019-06-12 12:00:00,230,224,,67,310
2019-06-12 12:30:00,205,205,,65,299
2019-06-12 13:00:00,205,205,,69,318
2019-06-12 13:30:00,222,222,,69,318
2019-06-12 14:00:00,205,205,,68,313
2019-06-12 14:30:00,214,214,,64,297
2019-06-12 15:00:00,188,188,,65,300
2019-06-12 15:30:00,216,216,,61,282
2019-06-12 16:00:00,213,213,,61,277
2019-06-12 16:30:00,198,198,,56,255
2019-06-12 17:00:00,198,111,,53,240
2019-06-12 17:30:00,174,89,,49,218
2019-06-12 18:00:00,153,115,,43,187
2019-06-12 18:30:00,135,124,,36,155
2019-06-12 19:00:00,95,95,,33,142
2019-06-12 19:30:00,109,95,,32,132
2019-06-12 20:00:00,105,75,,32,131
2019-06-12 20:30:00,82,82,,29,121
2019-06-12 21:00:00,69,68,,27,108
